timestamp_sec,relative_time_sec,kv_cache_usage_pct,cpu_kv_cache_usage_pct,num_requests_running,num_requests_waiting,prefix_cache_hits,prefix_cache_queries,cpu_prefix_cache_hits,cpu_prefix_cache_queries,prompt_tokens_total,generation_tokens_total,num_preemptions_total,request_success_total,kv_offload_bytes_gpu_to_cpu,kv_offload_bytes_cpu_to_gpu,kv_offload_time_gpu_to_cpu,kv_offload_time_cpu_to_gpu,prompt_tokens_local_compute,prompt_tokens_local_cache_hit,prompt_tokens_external_kv_transfer,prefill_kv_computed_tokens_sum,prefill_kv_computed_tokens_count,interval_cache_hit_rate_pct,interval_throughput_tok_per_sec
1788726198.384,0.000,0.00,0.00,0,0,0,7074897,0,0,7021605,85429,0,299,0,0,0.000000,0.000000,7021605,0,0,6577054,299,0.00,0.00
1788726199.403,1.018,1.52,0.00,1,0,0,7090080,0,0,7021605,85429,0,299,0,0,0.000000,0.000000,7021605,0,0,6577054,299,0.00,0.00
1788726200.416,2.032,1.71,0.00,1,35,0,7090080,0,0,7021605,85429,0,299,0,0,0.000000,0.000000,7021605,0,0,6577054,299,0.00,0.00
1788726201.431,3.047,1.81,0.00,1,50,0,7090080,0,0,7021605,85429,0,299,0,0,0.000000,0.000000,7021605,0,0,6577054,299,0.00,0.00
1788726202.444,4.060,1.90,0.00,1,62,0,7090080,0,0,7021605,85429,0,299,0,0,0.000000,0.000000,7021605,0,0,6577054,299,0.00,0.00
1788726203.456,5.072,2.48,0.00,2,93,0,7101976,0,0,7036788,85430,0,299,0,0,0.000000,0.000000,7036788,0,0,6577054,299,0.00,0.99
1788726204.469,6.085,2.68,0.00,2,115,0,7101976,0,0,7036788,85437,0,299,0,0,0.000000,0.000000,7036788,0,0,6577054,299,0.00,6.91
1788726205.480,7.096,2.77,0.00,3,122,0,7112652,0,0,7036788,85440,0,299,0,0,0.000000,0.000000,7036788,0,0,6577054,299,0.00,2.96
1788726206.492,8.108,3.35,0.00,3,122,0,7112652,0,0,7048684,85446,0,299,0,0,0.000000,0.000000,7048684,0,0,6577054,299,0.00,5.93
1788726207.503,9.119,3.44,0.00,3,122,0,7112652,0,0,7048684,85454,0,299,0,0,0.000000,0.000000,7048684,0,0,6577054,299,0.00,7.91
