start_time_ms,relative_time_sec,ttft_ms,tpot_ms,latency_ms,input_num_turns,input_num_tokens,output_num_tokens,output_num_chunks,output_num_first_chunk_tokens,approx_cached_percent,conversation_id,client_id,interactivity_tok_per_sec
1788723706479.300,0.000,153385.710,217.575,179059.545,1,18851,119,36,1,0.00,trace_0712,User-001,4.60
1788723706618.586,0.139,26743.528,224.337,76994.906,1,21916,225,71,1,0.00,trace_0714,User-003,4.46
1788723706666.713,0.187,31670.987,215.193,71266.553,1,18361,185,56,1,0.00,trace_0629,User-004,4.65
1788723706716.554,0.237,37976.462,331.064,80021.567,1,20311,128,59,1,0.00,trace_0568,User-005,3.02
1788723706752.314,0.273,5318.933,207.463,97017.447,1,13070,443,129,1,0.00,trace_0398,User-007,4.82
1788723706799.944,0.321,43576.378,209.208,123075.306,1,19408,381,107,1,0.00,trace_0707,User-008,4.78
1788723706829.644,0.350,8511.999,223.694,90607.756,1,12330,368,116,1,0.00,trace_0313,User-009,4.47
1788723706890.814,0.412,50944.771,201.219,188779.924,1,24258,686,185,1,0.00,trace_0694,User-011,4.97
1788723706946.760,0.467,57526.425,208.798,294929.832,1,22705,1138,317,1,0.00,trace_0704,User-016,4.79
1788723707023.296,0.544,173767.843,207.051,374400.405,1,28209,970,274,1,0.00,trace_0378,User-018,4.83
1788723707070.156,0.591,63061.559,268.343,130683.889,1,19031,253,90,1,0.00,trace_0587,User-019,3.73
1788723707111.218,0.632,19738.676,222.742,64286.983,1,16565,201,63,1,0.00,trace_0108,User-020,4.49
1788723707162.388,0.683,68867.055,305.853,121167.861,1,20883,172,70,1,0.00,trace_0562,User-023,3.27
1788723707211.752,0.732,74468.278,230.658,118293.387,1,18579,191,59,1,0.00,trace_0569,User-026,4.34
1788723707256.625,0.777,79473.899,261.361,126257.534,1,18429,180,62,1,0.00,trace_0579,User-029,3.83
1788723707303.433,0.824,85960.911,195.810,110632.991,3,20944,127,33,1,99.06,trace_0726,User-017,5.11
1788723707368.099,0.889,95141.432,315.382,149387.076,20,28118,173,71,1,99.06,trace_0418,User-022,3.17
1788723707436.773,0.957,104647.835,245.025,133805.853,6,30050,120,39,1,99.36,trace_0588,User-025,4.08
1788723707486.844,1.008,111297.034,208.184,161469.405,3,22908,242,67,1,96.99,trace_0253,User-013,4.80
1788723707556.507,1.077,121711.225,282.636,208763.019,8,31527,309,118,1,98.56,trace_0687,User-015,3.54
1788723707613.099,1.134,130137.904,127.968,157779.013,3,25894,217,38,1,98.02,trace_0266,User-021,7.81
1788723707681.072,1.202,140518.909,200.195,193570.676,6,31169,266,73,1,88.71,trace_0396,User-006,5.00
1788723707728.861,1.250,146428.100,225.420,259138.041,4,21831,501,154,1,84.05,trace_0082,User-030,4.44
1788723707831.475,1.352,10165.043,196.902,87350.724,1,11642,393,109,1,0.00,trace_0538,User-033,5.08
1788723707874.935,1.396,156922.547,244.488,217800.158,1,17666,250,84,1,0.00,trace_0164,User-034,4.09
1788723707912.127,1.433,14150.126,270.175,44409.705,1,14980,113,44,1,0.00,trace_0062,User-035,3.70
1788723708044.068,1.565,164117.422,236.240,268771.935,1,22967,444,139,1,0.00,trace_0615,User-036,4.23
1788723709325.308,2.846,176213.102,239.881,249616.543,1,15354,307,101,1,0.00,trace_0489,User-037,4.17
1788723709378.579,2.899,182084.374,221.929,263532.182,1,20443,368,111,1,0.00,trace_0661,User-038,4.51
