period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
1,1788724820.8868828,1788724850.8868828,63,1,0,0,0,0,0,63,63,0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,24159,0,0.0,100.0,0,57,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,,,0.07359777818028135,569
2,1788724850.8868828,1788724880.8868828,63,1,0,3,0,0,3,63,3,60,0.1,0.0,35.03333333333333,0.0,0.0,0.0,0.0,0.0,24675,0,0.0,100.0,0,53,10,20.245794932047527,20.835994005203247,24.174558448791505,24.471319732666014,3,0.049999998609224994,718.7499800076093,6.349999823371574,0.5593984962406015,4.7790598972756415,4.526514466325636,5.33570640712236,5.407634579637624,6.5,6.5,7.85,7.97,14375.0,14088.0,17933.7,18275.54,127.0,118.0,178.29999999999998,183.66,43125,381,1,0.0,0.0,0.0,0.0,,,,,0.10826541085552133,539
3,1788724880.8868828,1788724910.8868828,62,2,0,3,0,0,3,62,2,60,0.1,0.0,41.43333333333333,0.0,0.0,0.0,0.0,0.0,25140,0,0.0,100.0,0,50,12,22.164716561635334,22.690752029418945,33.19571965932846,34.81171492338181,6,0.06666666543042221,1078.3666466697944,10.399999807145864,0.46167048054919907,4.569668551479691,4.455781534530242,5.290065565006831,5.398506411214519,11.666666666666666,8.0,20.599999999999998,21.72,16175.5,16224.5,21149.5,21762.7,156.0,152.0,221.5,224.3,97053,936,1,0.0,0.0,0.0,0.0,,,,,0.13934673670228825,509
4,1788724910.8868828,1788724940.8868828,59,5,0,8,0,0,8,59,5,54,0.26666666666666666,0.0,52.93333333333333,0.0,0.0,0.0,0.0,0.0,25743,0,0.0,100.0,0,50,9,40.35697206429073,38.74421954154968,72.51653957366943,75.41159648895263,14,0.1166666650440958,1942.1083063229757,23.666666337516578,0.20879689521345407,4.425506055299943,4.296929540995318,5.086925343782574,5.357878366969667,11.666666666666666,8.0,20.599999999999998,21.72,16646.64285714286,17463.0,21243.9,21781.579999999998,202.85714285714286,201.0,316.95,325.78999999999996,233053,2840,1,0.0,0.0,0.0,0.0,,,,,0.11459276701080723,479
5,1788724940.8868828,1788724970.8868828,62,2,0,4,0,0,4,62,7,55,0.13333333333333333,0.0,34.333333333333336,0.0,0.0,0.0,0.0,0.0,27118,0,0.0,100.0,0,52,10,47.17175127400292,41.88768815994263,100.42292366027831,103.8002125930786,18,0.11999999866485597,1961.1199781801863,25.839999712498987,0.16753165870873987,4.347833837009291,4.296929540995318,4.982712642556769,5.337035826724505,11.666666666666666,8.0,20.599999999999998,21.72,16342.666666666666,17000.0,21037.1,21740.219999999998,215.33333333333334,201.0,379.2499999999999,430.2499999999999,294168,3876,1,0.0,0.0,0.0,0.0,,,,,0.12853951578820266,449
6,1788724970.8868828,1788725000.8868828,60,4,1,7,0,0,7,60,5,55,0.23333333333333334,710.5,37.06666666666667,160.20667243003845,160.20667243003845,160.20667243003845,160.20667243003845,0.9666666666666667,27674,0,176.35732460021973,90.81472267707188,704,53,7,66.69681089401246,59.11756658554077,127.17573361396788,152.55672730445855,25,0.13888888760113424,2437.8444218411564,29.305555283839322,0.20433305012744266,4.325444890907078,4.291149590334982,4.900324971655533,5.3005613812954735,10.4,8.0,19.799999999999997,21.56,17552.48,18361.0,21913.0,23913.279999999995,211.0,191.0,359.9999999999999,424.99999999999983,438812,5275,1,0.0,0.0,0.0,0.0,,,,,0.11529312322646867,419
7,1788725000.8868828,1788725030.8868828,62,2,0,3,0,0,3,62,5,57,0.1,0.0,31.8,0.0,0.0,0.0,0.0,0.0,29030,0,0.0,100.0,0,53,9,75.18022633450371,67.75190329551697,151.56390304565429,158.42639070034028,28,0.1333333322736952,2395.3999809630714,27.76190454127297,0.285125,4.327225291450182,4.296929540995318,4.897153862919121,5.2849294761116035,10.875,9.5,19.549999999999997,21.509999999999998,17965.5,18395.0,23624.199999999997,25530.23,208.21428571428572,190.0,353.99999999999994,422.75000000000006,503034,5830,1,0.0,0.0,0.0,0.0,,,,,0.1245426553160659,389
8,1788725030.8868828,1788725060.8868828,62,2,0,2,0,0,2,62,2,60,0.06666666666666667,0.0,41.8,0.0,0.0,0.0,0.0,0.0,29536,0,0.0,100.0,0,51,11,81.79719636440277,73.35165214538574,163.85478329658505,177.62475049495697,30,0.12499999913076561,2276.7208175013006,26.016666485750015,0.2993762993762994,4.3100122976400455,4.296929540995318,4.89503979042818,5.274508205989023,11.11111111111111,11.0,19.199999999999996,21.439999999999998,18213.766666666666,18504.0,23879.799999999996,25503.210000000003,208.13333333333333,190.0,349.9999999999999,421.25000000000006,546413,6244,1,0.0,0.0,0.0,0.0,,,,,0.15325726015818386,359
9,1788725060.8868828,1788725090.8868828,63,1,0,5,0,0,5,63,6,57,0.16666666666666666,0.0,41.56666666666667,0.0,0.0,0.0,0.0,0.0,29945,0,0.0,100.0,0,53,10,97.76006971086774,94.21475958824158,212.3081400632858,221.34412626266476,35,0.12962962882836007,2433.588873846335,27.351851682783973,0.3474559876184949,4.299692771492889,4.291149590334982,4.927431823109671,5.274384231351126,11.75,12.0,18.149999999999995,21.230000000000004,18773.4,18596.0,24949.299999999996,26856.619999999995,211.0,189.0,390.4999999999998,481.2799999999998,657069,7385,1,0.0,0.0,0.0,0.0,,,,,0.14533598985691,329
10,1788725090.8868828,1788725120.8868828,60,4,1,4,0,0,4,60,1,59,0.13333333333333333,684.9,44.766666666666666,266.71893644332886,266.71893644332886,266.71893644332886,266.71893644332886,0.9651898734177216,29952,0,289.11082339286804,84.9421446149548,704,50,10,110.64167931140997,104.64453482627869,225.27350037097932,254.49231197834007,39,0.12999999927679698,2483.6133195167436,27.97999984434446,0.3674590234274436,4.313393543994063,4.291149590334982,4.919325733635945,5.256592185302266,11.857142857142858,12.0,17.449999999999996,21.089999999999996,19104.71794871795,18850.0,26040.7,29718.53999999999,215.23076923076923,191.0,387.2000000000001,478.95999999999987,745084,8394,1,0.0,0.0,0.0,0.0,,,,,0.1461691722514037,299
