start_time_ms,relative_time_sec,ttft_ms,tpot_ms,latency_ms,input_num_turns,input_num_tokens,output_num_tokens,output_num_chunks,output_num_first_chunk_tokens,approx_cached_percent,conversation_id,client_id,interactivity_tok_per_sec
1788379267908.756,0.000,5630.100,23.537,8407.500,1,18851,119,119,1,0.00,trace_0712,User-001,42.49
1788379283613.579,15.705,6177.498,23.814,11511.832,1,21916,225,225,1,0.00,trace_0714,User-003,41.99
1788379312265.475,44.357,3084.279,24.763,10067.451,2,30152,283,283,1,72.77,trace_0714,User-003,40.38
1788379328401.370,60.493,5032.622,22.881,9242.648,1,18361,185,185,1,0.00,trace_0629,User-004,43.71
1788379397718.380,129.810,3847.246,24.172,5418.419,2,29165,66,66,1,62.86,trace_0629,User-004,41.37
1788379447221.285,179.313,5659.384,23.779,8750.609,1,20311,131,131,1,0.00,trace_0568,User-005,42.05
1788379470042.195,202.133,3282.711,21.560,11561.926,1,12661,385,385,1,0.00,trace_0396,User-006,46.38
1788379487646.553,219.738,315.796,21.400,4595.789,2,13297,201,201,1,95.17,trace_0396,User-006,46.73
1788379498309.872,230.401,2204.569,23.703,8533.308,3,20095,268,268,1,66.13,trace_0396,User-006,42.19
1788379511911.582,244.003,575.185,23.707,5909.265,4,21388,226,226,1,93.99,trace_0396,User-006,42.18
1788379525885.116,257.976,1264.858,24.228,6643.394,5,24727,223,223,1,86.49,trace_0396,User-006,41.28
1788379538599.572,270.691,1302.679,24.551,7808.753,6,27876,266,266,1,88.71,trace_0396,User-006,40.73
1788379581481.862,313.573,829.691,24.973,45581.474,7,29709,1793,1793,1,93.94,trace_0396,User-006,40.04
1788379635143.315,367.235,872.849,24.621,3408.847,8,31558,104,104,1,94.09,trace_0396,User-006,40.62
1788379698623.494,430.715,257.183,24.854,5998.461,9,31762,232,232,1,99.39,trace_0396,User-006,40.23
1788379708698.232,440.789,331.260,24.822,4426.973,10,32138,166,166,1,98.60,trace_0396,User-006,40.29
1788379718185.248,450.276,3403.406,21.657,12975.636,1,13070,443,443,1,0.00,trace_0398,User-007,46.18
1788379735207.259,467.299,320.417,22.020,2830.674,2,13739,115,115,1,94.86,trace_0398,User-007,45.41
1788379742077.784,474.169,204.168,21.711,4568.004,3,13998,202,202,1,98.17,trace_0398,User-007,46.06
1788379750689.888,482.781,216.333,21.583,2935.851,4,14306,127,127,1,98.20,trace_0398,User-007,46.33
1788379757677.109,489.768,190.541,21.619,2525.359,5,14510,109,109,1,98.67,trace_0398,User-007,46.26
1788379764248.350,496.340,259.840,21.720,3952.211,6,14960,171,171,1,96.98,trace_0398,User-007,46.04
1788379775247.650,507.339,241.759,21.851,7365.057,7,15342,327,327,1,97.89,trace_0398,User-007,45.77
1788379787656.126,519.747,298.707,21.842,5715.500,8,15890,249,249,1,96.34,trace_0398,User-007,45.78
1788379797442.587,529.534,3117.000,24.124,6108.409,9,25043,125,125,1,63.24,trace_0398,User-007,41.45
1788379809628.192,541.719,1804.774,24.682,8123.400,10,29595,257,257,1,84.57,trace_0398,User-007,40.52
1788379822827.886,554.919,366.601,24.741,6824.033,11,30081,262,262,1,98.50,trace_0398,User-007,40.42
