timestamp_sec,relative_time_sec,kv_cache_usage_pct,cpu_kv_cache_usage_pct,num_requests_running,num_requests_waiting,prefix_cache_hits,prefix_cache_queries,cpu_prefix_cache_hits,cpu_prefix_cache_queries,prompt_tokens_total,generation_tokens_total,num_preemptions_total,request_success_total,kv_offload_bytes_gpu_to_cpu,kv_offload_bytes_cpu_to_gpu,kv_offload_time_gpu_to_cpu,kv_offload_time_cpu_to_gpu,prompt_tokens_local_compute,prompt_tokens_local_cache_hit,prompt_tokens_external_kv_transfer,prefill_kv_computed_tokens_sum,prefill_kv_computed_tokens_count,interval_cache_hit_rate_pct,interval_throughput_tok_per_sec
1788379269.194,0.000,1.48,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788379270.206,1.012,1.66,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788379271.229,2.036,1.75,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788379272.249,3.055,1.85,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788379273.264,4.070,1.58,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788379274.279,5.085,1.08,0.00,1,0,0,18851,0,0,18851,31,0,0,0,0,0.000000,0.000000,18851,0,0,0,0,0.00,30.55
1788379275.293,6.099,1.08,0.00,1,0,0,18851,0,0,18851,74,0,0,0,0,0.000000,0.000000,18851,0,0,0,0,0.00,42.42
1788379276.302,7.108,1.08,0.00,1,0,0,18851,0,0,18851,118,0,0,0,0,0.000000,0.000000,18851,0,0,0,0,0.00,43.61
1788379277.313,8.120,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.99
1788379278.325,9.131,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788379279.336,10.142,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788379280.344,11.150,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788379281.355,12.161,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
