timestamp,user_id,event_type,trace_id,details
1788380907.6969063,User-001,started,trace_0712,"63 requests, 18,829 initial tokens"
1788380907.747162,User-002,started,trace_0365,"34 requests, 31,447 initial tokens"
1788380907.7976563,User-003,started,trace_0714,"259 requests, 21,894 initial tokens"
1788380907.8479948,User-004,started,trace_0629,"107 requests, 18,339 initial tokens"
1788380907.8981857,User-005,started,trace_0568,"11 requests, 20,289 initial tokens"
1788380907.9686918,User-006,started,trace_0396,"84 requests remaining (advanced 5%), 24,666 tokens at start"
1788380908.0188456,User-007,started,trace_0398,"36 requests, 13,048 initial tokens"
1788380908.0689814,User-008,started,trace_0707,"24 requests, 19,386 initial tokens"
1788380908.11919,User-009,started,trace_0313,"48 requests, 12,308 initial tokens"
1788380908.1932657,User-010,started,trace_0330,"81 requests remaining (advanced 32%), 32,148 tokens at start"
1788380908.2434576,User-011,started,trace_0694,"16 requests, 24,236 initial tokens"
1788380908.3106008,User-012,started,trace_0292,"28 requests remaining (advanced 3%), 21,006 tokens at start"
1788380908.3720653,User-013,started,trace_0253,"159 requests remaining (advanced 1%), 20,671 tokens at start"
1788380908.4398236,User-014,started,trace_0381,"271 requests remaining (advanced 5%), 31,518 tokens at start"
1788380908.5070448,User-015,started,trace_0687,"127 requests remaining (advanced 5%), 30,759 tokens at start"
1788380908.5572035,User-016,started,trace_0704,"10 requests, 22,683 initial tokens"
1788380976.4284832,User-014,truncated,trace_0381,"14/285 requests, 0.0% cache hit"
1788380976.42869,User-017,started,trace_0726,"84 requests, 19,986 initial tokens"
1788380977.2581937,User-010,truncated,trace_0330,"39/119 requests, 0.0% cache hit"
1788380977.2584007,User-018,started,trace_0378,"472 requests, 28,187 initial tokens"
1788380977.531774,User-002,truncated,trace_0365,"0/34 requests, 0.0% cache hit"
1788380977.5319157,User-019,started,trace_0587,"58 requests, 19,009 initial tokens"
1788380983.4577794,User-012,truncated,trace_0292,"2/29 requests, 0.0% cache hit"
1788380983.4580495,User-020,started,trace_0108,"23 requests, 16,543 initial tokens"
1788381064.5208895,User-001,truncated,trace_0712,"1/63 requests, 0.0% cache hit"
1788381064.521328,User-021,started,trace_0266,"23 requests, 18,964 initial tokens"
1788381073.329862,User-005,truncated,trace_0568,"1/11 requests, 0.0% cache hit"
1788381073.3300796,User-022,started,trace_0418,"287 requests, 12,943 initial tokens"
1788381077.446318,User-019,truncated,trace_0587,"1/58 requests, 0.0% cache hit"
1788381077.4465213,User-023,started,trace_0562,"99 requests, 20,860 initial tokens"
1788381106.076937,User-006,truncated,trace_0396,"6/88 requests, 88.7% cache hit"
1788381106.0772028,User-024,started,trace_0255,"13 requests, 20,387 initial tokens"
1788381111.9999344,User-023,truncated,trace_0562,"1/99 requests, 0.0% cache hit"
1788381112.0002143,User-025,started,trace_0588,"118 requests, 20,747 initial tokens"
1788381119.4316583,User-015,truncated,trace_0687,"8/133 requests, 98.6% cache hit"
1788381119.4318628,User-026,started,trace_0569,"44 requests, 18,557 initial tokens"
1788381121.119721,User-013,truncated,trace_0253,"4/160 requests, 96.6% cache hit"
1788381121.1199048,User-027,started,trace_0632,"101 requests, 20,670 initial tokens"
1788381132.2804627,User-009,truncated,trace_0313,"1/48 requests, 0.0% cache hit"
1788381132.2806628,User-028,started,trace_0006,"46 requests, 16,981 initial tokens"
1788381151.0870705,User-003,truncated,trace_0714,"2/259 requests, 42.1% cache hit"
1788381151.0874555,User-029,started,trace_0579,"52 requests, 18,407 initial tokens"
1788381165.795105,User-026,truncated,trace_0569,"1/44 requests, 0.0% cache hit"
1788381165.7955086,User-030,started,trace_0082,"130 requests, 16,254 initial tokens"
1788381182.2015886,User-029,truncated,trace_0579,"1/52 requests, 0.0% cache hit"
1788381182.201996,User-031,started,trace_0624,"23 requests, 22,710 initial tokens"
1788381189.5459545,User-004,truncated,trace_0629,"2/107 requests, 38.6% cache hit"
1788381189.5462294,User-032,started,trace_0279,"78 requests, 18,333 initial tokens"
1788381192.5594935,User-020,truncated,trace_0108,"4/23 requests, 67.0% cache hit"
1788381192.5597663,User-033,started,trace_0538,"5 requests, 9,925 initial tokens"
1788381207.1810114,User-011,truncated,trace_0694,"1/16 requests, 0.0% cache hit"
1788381207.1812804,User-034,started,trace_0164,"67 requests, 17,644 initial tokens"
1788381222.9481475,User-021,truncated,trace_0266,"3/23 requests, 64.5% cache hit"
1788381222.9487638,User-035,started,trace_0062,"68 requests, 14,958 initial tokens"
1788381223.5743845,User-024,truncated,trace_0255,"2/13 requests, 41.0% cache hit"
1788381223.574617,User-036,started,trace_0615,"12 requests, 22,945 initial tokens"
1788381229.3003628,User-028,truncated,trace_0006,"2/46 requests, 45.6% cache hit"
1788381229.3006546,User-037,started,trace_0489,"19 requests, 15,332 initial tokens"
1788381236.8350806,User-018,truncated,trace_0378,"1/472 requests, 0.0% cache hit"
1788381236.8352845,User-038,started,trace_0661,"212 requests, 20,420 initial tokens"
1788381242.1583378,User-016,truncated,trace_0704,"1/10 requests, 0.0% cache hit"
1788381242.1585548,User-039,started,trace_0220,"36 requests, 27,289 initial tokens"
1788381288.7751372,User-017,truncated,trace_0726,"10/84 requests, 89.6% cache hit"
1788381288.7754943,User-040,started,trace_0278,"50 requests, 19,498 initial tokens"
1788381289.7516184,User-032,truncated,trace_0279,"2/78 requests, 36.4% cache hit"
1788381289.7517946,User-041,started,trace_0570,"73 requests, 18,574 initial tokens"
1788381326.5344203,User-027,truncated,trace_0632,"4/101 requests, 68.4% cache hit"
1788381326.534675,User-042,started,trace_0582,"60 requests, 20,329 initial tokens"
1788381336.9427605,User-033,completed,trace_0538,"5/5 requests, 77.6% cache hit"
1788381336.9429991,User-043,started,trace_0052,"14 requests, 15,161 initial tokens"
1788381339.577165,User-041,truncated,trace_0570,"1/73 requests, 0.0% cache hit"
1788381339.5774434,User-044,started,trace_0272,"19 requests, 24,522 initial tokens"
1788381364.7666032,User-038,truncated,trace_0661,"4/212 requests, 69.2% cache hit"
1788381364.7669442,User-045,started,trace_0729,"47 requests, 20,139 initial tokens"
1788381388.7047453,User-030,truncated,trace_0082,"5/130 requests, 71.3% cache hit"
1788381388.705126,User-046,started,trace_0334,"90 requests, 11,940 initial tokens"
1788381388.9092524,User-042,truncated,trace_0582,"3/60 requests, 65.8% cache hit"
1788381388.9094665,User-047,started,trace_0228,"22 requests, 16,823 initial tokens"
1788381392.1247962,User-044,truncated,trace_0272,"2/19 requests, 47.2% cache hit"
1788381392.1250641,User-048,started,trace_0546,"4 requests, 11,349 initial tokens"
1788381420.104538,User-043,truncated,trace_0052,"3/14 requests, 58.4% cache hit"
1788381420.1046944,User-049,started,trace_0273,"59 requests, 18,380 initial tokens"
1788381432.298804,User-035,truncated,trace_0062,"5/68 requests, 75.2% cache hit"
1788381432.2990932,User-050,started,trace_0243,"98 requests, 22,145 initial tokens"
1788381446.6224797,User-025,truncated,trace_0588,"13/118 requests, 91.8% cache hit"
1788381446.6226127,User-051,started,trace_0167,"18 requests, 13,692 initial tokens"
1788381453.9287918,User-048,completed,trace_0546,"4/4 requests, 73.4% cache hit"
1788381453.928986,User-052,started,trace_0594,"119 requests, 17,512 initial tokens"
1788381473.6500554,User-008,truncated,trace_0707,"8/24 requests, 86.3% cache hit"
1788381473.6502163,User-053,started,trace_0176,"95 requests, 29,914 initial tokens"
1788381512.4868903,User-040,truncated,trace_0278,"2/50 requests, 39.2% cache hit"
1788381512.4871228,User-054,started,trace_0666,"33 requests, 17,413 initial tokens"
1788381518.145636,User-007,truncated,trace_0398,"13/36 requests, 88.1% cache hit"
1788381518.1458805,User-055,started,trace_0449,"26 requests, 14,487 initial tokens"
1788381539.0397568,User-039,truncated,trace_0220,"5/36 requests, 71.2% cache hit"
1788381539.0401213,User-056,started,trace_0590,"8 requests, 18,105 initial tokens"
1788381539.444736,User-054,truncated,trace_0666,"1/33 requests, 0.0% cache hit"
1788381539.444986,User-057,started,trace_0276,"137 requests, 18,258 initial tokens"
1788381542.359317,User-053,truncated,trace_0176,"2/95 requests, 24.3% cache hit"
1788381542.3595734,User-058,started,trace_0586,"73 requests, 17,854 initial tokens"
1788381564.5992403,User-045,truncated,trace_0729,"7/47 requests, 84.3% cache hit"
1788381564.59936,User-059,started,trace_0656,"65 requests, 19,442 initial tokens"
