period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
1,1788380070.5773048,1788380100.5773048,8,0,0,0,0,0,0,8,8,0,0.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,2370,0,0.0,100.0,0,3,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,,,0.07257295553802867,569
2,1788380100.5773048,1788380130.5773048,6,2,1,5,0,0,5,6,3,3,0.16666666666666666,1039.0,65.13333333333334,33.787861347198486,33.787861347198486,33.787861347198486,33.787861347198486,0.8870967741935484,3294,0,41.51256036758423,82.7030998468399,3136,1,5,19.91840147972107,19.58494520187378,32.137904453277585,33.45786996841431,5,0.08333332803514303,1843.4832161278268,15.433332352108488,0.2301255230125523,13.281677154141942,9.232702397496205,29.51544238275084,33.34752345589691,11.0,11.0,11.0,11.0,22121.8,20311.0,29319.199999999997,30799.84,185.2,185.0,257.8,264.36,110609,926,0,0.14765870168518036,0.0,0.8121228592684919,0.8810642895309522,,,,,0.07609271445220078,539
3,1788380130.5773048,1788380160.5773048,4,4,3,7,3,2,5,4,3,1,0.23333333333333334,1698.8666666666666,75.0,1.8118115266164143,0.3521707057952881,4.316262984275817,4.668626742362976,0.6360201511335013,3946,0,37.2876923084259,84.46346153815587,18496,0,4,14.590378981370192,8.639733791351318,33.39612965583801,33.70951500892639,13,0.14444443832209106,2926.0665426437995,37.28888730837982,0.3040473840078973,15.660021869521483,11.981313776728886,35.06367886233537,35.973441028117705,22.0,16.0,40.64999999999999,44.129999999999995,20257.384615384617,19408.0,30558.6,31047.719999999998,258.15384615384613,266.0,431.59999999999997,440.71999999999997,263346,3356,0,0.31778491295574457,0.0,0.9773156658435109,0.9799763126815245,,,,,0.05824671273352244,509
4,1788380160.5773048,1788380190.5773048,1,7,5,12,7,7,5,1,1,0,0.4,4838.266666666666,80.03333333333333,1.833158118384225,1.2144479751586914,4.3179418563842775,4.390268173217773,0.9017264276228419,4225,0,61.80333685874939,74.24860964218776,14208,0,1,9.4440376162529,5.245859980583191,32.70341781377792,33.63769753217697,24,0.19999999364217141,4138.24986844858,51.47499836365387,0.5076782925559604,21.784885036893485,20.24435298010289,39.148786875974935,41.90103340721679,27.23076923076923,15.0,83.79999999999987,130.3599999999999,20691.25,19633.5,31090.1,31164.94,257.375,219.5,484.6499999999999,639.0699999999999,496590,6177,0,0.4907728582554098,0.6773224271140021,0.9801587990491067,0.9828654358779055,,,,,0.011771768943719119,479
5,1788380190.5773048,1788380220.5773048,2,6,5,6,5,5,1,2,2,0,0.2,3095.4666666666667,62.06666666666667,4.361018705368042,5.4990739822387695,6.631016778945923,6.728183946609497,0.603185595567867,5157,0,109.47761964797974,54.3843251466751,36672,0,2,8.41164615948995,5.127895832061768,31.8403030514717,33.59852436304092,30,0.1999999949137371,4069.946563162573,54.27999861958825,0.5333121827411168,21.322860483222588,19.026249718766852,38.46605409604521,41.713172616987414,24.294117647058822,15.0,64.39999999999993,126.47999999999999,20349.733333333334,19633.5,30974.3,31163.62,271.4,236.0,543.1499999999997,654.58,610492,8142,0,0.5072449080822803,0.6286987827875878,0.980182114082321,0.982721022794342,,,,,0.022236871534685565,449
6,1788380220.5773048,1788380250.5773048,7,1,3,4,3,3,1,7,6,1,0.13333333333333333,1935.3666666666666,84.0,6.749453783035278,6.057746887207031,12.938683104515075,13.550321879386901,0.6301218161683277,6115,0,47.56325149536133,80.18197854359946,21376,2,5,8.02486173545613,5.127895832061768,31.26489320993423,33.572408916950224,34,0.1888888848858116,3806.0221415620986,49.81111005547608,0.5523737754333082,21.407995248545667,19.026249718766852,38.0108989094254,41.58793209016783,23.25,15.0,49.850000000000065,123.56999999999988,20149.529411764706,19633.5,30897.1,31162.74,263.70588235294116,227.5,524.5499999999998,650.6600000000002,685084,8966,0,0.5214511824867056,0.6337645743491455,0.9809275596810815,0.98287195708946,,,,,0.08208454484455374,419
7,1788380250.5773048,1788380280.5773048,0,8,5,13,6,6,7,0,0,0,0.43333333333333335,5849.7,91.36666666666666,1.7030611634254456,1.1309183835983276,4.604643023014067,5.14273017168045,0.8011738811445341,6500,0,78.50525736808777,67.2894760966301,34688,0,0,6.917594493703639,4.69304347038269,28.841971254348735,33.48753371715546,47,0.2238095197439735,4634.604677716125,65.9190464216133,0.5949794674791363,23.08299518283238,22.701518323598457,38.820906889947814,41.18220944093426,19.133333333333333,15.0,44.55,113.87000000000009,20707.808510638297,20355.0,30578.699999999997,31159.88,294.531914893617,242.0,653.5999999999996,1079.62,973267,13843,0,0.5525607511693231,0.7983153411619871,0.983763300242431,0.9894935767261299,,,,,0.0,389
8,1788380280.5773048,1788380310.5773048,2,6,4,8,8,8,0,2,2,0,0.26666666666666666,5891.666666666667,55.233333333333334,1.0181955695152283,0.41781365871429443,3.3342977523803694,4.26792366027832,0.8736303871439006,6903,0,55.11807680130005,77.03413466612497,22144,1,1,6.0595001047307795,3.8873884677886963,26.95403161048888,33.43530282497406,55,0.22916666302416067,4791.737423837385,63.79166565272545,0.6377551020408163,24.604318044877456,23.1817441316351,39.73875765879196,41.56085688440101,17.37837837837838,12.0,44.199999999999996,107.08000000000006,20909.4,20595.0,30334.3,31158.12,278.3636363636364,225.0,614.3999999999997,1063.38,1150017,15310,0,0.6005959978665661,0.9098038982306661,0.9894937180269578,0.9908304569724379,,,,,0.011913030171043837,359
9,1788380310.5773048,1788380340.5773048,2,6,5,8,6,6,2,2,2,0,0.26666666666666666,5246.166666666667,47.96666666666667,3.4142954690115794,4.365129470825195,6.0550940990447994,6.232764310836791,0.7894521668029436,7616,0,75.21061277389526,68.66224467754364,32960,1,1,5.672770220135885,3.8873884677886963,24.942763710021964,33.38307193279267,63,0.2333333300366814,4923.022152667262,62.39259171107834,0.6615093607527404,25.14923171454024,23.736450399901113,39.492714476020396,41.40377398780422,55.31818181818182,12.0,127.45000000000013,942.4300000000003,21098.666666666668,20795.0,30144.3,31156.36,267.3968253968254,214.0,575.6999999999998,1047.1400000000006,1329216,16846,0,0.6061621437354626,0.875453446191052,0.9887976496781936,0.9907630335924577,,,,,0.008628706635746108,329
10,1788380340.5773048,1788380370.5773048,7,1,2,3,2,2,1,7,6,1,0.1,1437.9666666666667,46.0,3.4854520559310913,3.4854520559310913,6.374632227420807,6.631448242664337,0.5081967213114754,9083,0,34.040971755981445,85.81626176834106,21120,3,4,5.571255980115948,3.6214503049850464,24.04979395866394,33.363485348224636,66,0.21999999720255536,4617.733274615818,58.43999925689698,0.6505048625005816,24.553571615046412,23.15839684561142,39.49228760767363,41.34486790158041,54.55555555555556,12.0,122.59999999999972,932.4400000000023,20989.696969696968,20838.5,30134.25,31155.7,265.6363636363636,212.5,561.75,1041.0499999999988,1385320,17532,0,0.5890256616624945,0.8706846108835576,0.9882010196649672,0.9907052421239031,,,,,0.07282016268584679,299
