start_time_ms,relative_time_sec,ttft_ms,tpot_ms,latency_ms,input_num_turns,input_num_tokens,output_num_tokens,output_num_chunks,output_num_first_chunk_tokens,approx_cached_percent,conversation_id,client_id,interactivity_tok_per_sec
1788734783655.617,0.000,141333.626,325.348,179724.728,1,18851,119,58,1,0.00,trace_0712,User-001,3.07
1788734783802.069,0.146,26901.590,272.441,87928.387,1,21916,225,92,1,0.00,trace_0714,User-003,3.67
1788734783848.934,0.193,32069.725,282.914,84125.945,1,18361,185,79,1,0.00,trace_0629,User-004,3.53
1788734783906.757,0.251,37968.390,265.915,72537.345,1,20311,131,53,1,0.00,trace_0568,User-005,3.76
1788734783939.195,0.284,5182.867,274.493,126508.745,1,13069,443,180,1,0.00,trace_0398,User-007,3.64
1788734783990.402,0.335,43181.907,243.502,135712.539,1,19408,381,135,1,0.00,trace_0707,User-008,4.11
1788734784021.765,0.366,8210.274,240.080,96319.546,1,12330,368,133,1,0.00,trace_0313,User-009,4.17
1788734784085.327,0.430,50012.629,270.884,235567.836,1,24258,686,273,1,0.00,trace_0694,User-011,3.69
1788734784145.893,0.490,56709.042,293.753,381893.381,1,22704,1108,471,1,0.00,trace_0704,User-016,3.40
1788734784220.959,0.565,166875.105,269.132,428471.452,1,28209,973,387,1,0.00,trace_0378,User-018,3.72
1788734784267.881,0.612,61854.582,276.796,131607.245,1,19032,253,102,1,0.00,trace_0587,User-019,3.61
1788734784310.699,0.655,66331.063,286.813,128856.207,1,16565,219,91,1,0.00,trace_0108,User-020,3.49
1788734784362.425,0.707,20240.077,274.947,68080.828,1,20882,175,73,1,0.00,trace_0562,User-023,3.64
1788734784408.914,0.753,71480.234,319.815,132245.045,1,18579,191,88,1,0.00,trace_0569,User-026,3.13
1788734784456.457,0.801,76650.734,253.029,121942.896,1,18429,180,66,1,0.00,trace_0579,User-029,3.95
1788734784527.444,0.872,86643.734,210.004,142294.765,6,31168,266,81,1,88.71,trace_0396,User-006,4.76
1788734784575.339,0.920,92603.179,200.083,117813.599,3,20944,127,37,1,99.06,trace_0726,User-017,5.00
1788734784642.082,0.986,101050.891,216.280,138251.120,20,28117,173,54,1,99.06,trace_0418,User-022,4.62
1788734784709.812,1.054,110323.016,256.528,140849.850,6,30060,120,45,1,99.36,trace_0588,User-025,3.90
1788734784763.467,1.108,117064.369,187.884,162344.303,3,22906,242,67,1,96.99,trace_0253,User-013,5.32
1788734784834.889,1.179,127158.295,255.122,205735.958,8,31527,309,117,1,98.56,trace_0687,User-015,3.92
1788734784894.236,1.239,134803.426,218.959,182098.529,3,25895,217,71,1,98.02,trace_0266,User-021,4.57
1788734785077.789,1.422,9681.448,251.714,108353.409,1,11642,393,147,1,0.00,trace_0538,User-033,3.97
1788734785120.670,1.465,144481.478,268.430,212394.167,1,17666,254,102,1,0.00,trace_0164,User-034,3.73
1788734785156.201,1.501,14006.735,255.184,42587.368,1,14980,113,44,1,0.00,trace_0062,User-035,3.92
1788734785209.795,1.554,150516.388,237.814,269423.394,4,21832,501,176,1,84.05,trace_0082,User-030,4.20
1788734785273.055,1.617,157262.816,281.616,290467.327,1,22967,474,196,1,0.00,trace_0615,User-036,3.55
1788734786428.794,2.773,169104.687,256.524,247601.095,1,15354,307,117,1,0.00,trace_0489,User-037,3.90
1788734786551.571,2.896,174397.379,236.810,261306.642,1,20442,368,129,1,0.00,trace_0661,User-038,4.22
1788734786788.591,3.133,182629.077,235.284,267095.944,1,27311,360,126,1,0.00,trace_0220,User-039,4.25
1788734786944.759,3.289,188369.195,227.772,423202.214,1,19520,1032,345,1,0.00,trace_0278,User-040,4.39
1788734793772.927,10.117,186844.129,284.275,279233.346,1,18597,326,136,1,0.00,trace_0570,User-041,3.52
1788734833810.061,50.154,151347.521,157.356,211300.249,2,16360,382,89,1,91.37,trace_0062,User-035,6.36
1788734858614.280,74.959,132561.804,267.547,173228.915,1,20351,153,61,1,0.00,trace_0582,User-042,3.74
1788734870631.712,86.976,124444.384,267.014,210689.776,1,15183,324,125,1,0.00,trace_0052,User-043,3.75
1788734881825.947,98.170,123289.459,229.700,188064.931,2,30152,283,95,1,72.77,trace_0714,User-003,4.35
1788734905463.995,121.808,105739.453,222.329,130417.938,4,21135,112,38,1,99.38,trace_0726,User-017,4.50
1788734914507.813,130.852,100525.595,248.492,128853.627,2,13738,115,42,1,94.86,trace_0398,User-007,4.02
1788734916648.445,132.993,106026.184,261.247,188057.658,1,24544,315,122,1,0.00,trace_0272,User-044,3.83
1788734918311.279,134.656,110366.656,242.273,150341.774,2,19881,166,58,1,83.23,trace_0108,User-020,4.13
1788734922066.787,138.411,112629.406,296.602,177288.584,1,20161,219,96,1,0.00,trace_0729,User-045,3.37
1788734926031.673,142.376,117328.996,196.243,149709.089,21,28295,166,48,1,99.53,trace_0418,User-022,5.10
1788734926816.955,143.161,122519.985,206.092,185996.335,2,19859,309,95,1,97.73,trace_0707,User-008,4.85
1788734928100.636,144.445,130553.360,291.107,149475.330,2,29165,66,29,1,62.86,trace_0629,User-004,3.44
1788734928707.703,145.052,139397.750,258.813,157773.507,7,30248,72,30,1,99.57,trace_0588,User-025,3.86
1788734932886.363,149.231,138918.283,255.501,178520.972,1,11961,156,61,1,0.00,trace_0334,User-046,3.91
1788734940543.905,156.888,135847.699,266.288,168068.545,1,16845,122,50,1,0.00,trace_0228,User-047,3.76
1788734953471.329,169.816,126040.541,296.942,155140.816,2,12040,99,45,1,91.19,trace_0538,User-033,3.37
1788734962179.300,178.524,120466.515,280.198,147085.328,1,11642,96,41,1,0.00,trace_0546,User-048,3.57
1788734970557.723,186.902,117358.209,334.048,151765.126,1,18402,104,53,1,0.00,trace_0273,User-049,2.99
1788734972178.484,188.523,122657.078,258.813,164584.739,4,23772,163,65,1,96.23,trace_0253,User-013,3.86
1788734974196.489,190.541,127383.658,635.015,189615.165,1,22167,99,78,1,0.00,trace_0243,User-050,1.57
1788735007609.567,223.954,99183.808,154.609,129796.342,2,18034,199,48,1,97.86,trace_0164,User-034,6.47
1788735035928.715,252.273,76883.166,164.290,92490.755,2,20509,96,25,1,99.37,trace_0582,User-042,6.09
1788735037726.495,254.071,78865.620,282.340,201400.991,1,13714,435,162,1,0.00,trace_0167,User-051,3.54
1788735038134.497,254.479,82407.022,211.965,127131.559,2,15800,212,68,1,97.15,trace_0489,User-037,4.72
1788735038948.058,255.292,87694.569,213.965,115937.916,5,21312,133,44,1,99.38,trace_0726,User-017,4.67
1788735047458.402,263.803,82970.781,264.524,136140.085,3,13999,202,79,1,98.17,trace_0398,User-007,3.78
1788735050209.553,266.554,85355.613,166.046,97643.023,3,16745,75,19,1,98.08,trace_0062,User-035,6.02
1788735051929.280,268.274,89686.920,288.237,172411.017,2,21049,288,121,1,97.26,trace_0661,User-038,3.47
1788735074771.376,291.116,73694.361,209.886,128264.778,3,23360,261,80,1,85.16,trace_0108,User-020,4.76
1788735076092.109,292.436,76993.704,300.469,155115.694,1,17534,261,115,1,0.00,trace_0594,User-052,3.33
1788735078841.890,295.186,81760.981,209.070,109358.282,2,24140,133,41,1,95.21,trace_0615,User-036,4.78
