start_time_ms,relative_time_sec,ttft_ms,tpot_ms,latency_ms,input_num_turns,input_num_tokens,output_num_tokens,output_num_chunks,output_num_first_chunk_tokens,approx_cached_percent,conversation_id,client_id,interactivity_tok_per_sec
1788386428884.253,0.000,12949.246,475.261,69030.037,1,18851,119,78,1,0.00,trace_0712,User-001,2.10
1788386429018.130,0.134,19273.070,371.641,102520.671,1,21916,225,124,1,0.00,trace_0714,User-003,2.69
1788386429063.883,0.180,24731.041,399.731,98281.545,1,18361,185,106,1,0.00,trace_0629,User-004,2.50
1788386429112.335,0.228,30394.364,410.944,83817.106,1,20311,131,73,1,0.00,trace_0568,User-005,2.43
1788386429143.145,0.259,4481.417,277.996,127355.504,1,13070,443,277,1,0.00,trace_0398,User-007,3.60
1788386429206.722,0.322,35933.396,207.269,114695.719,1,19408,381,216,1,0.00,trace_0707,User-008,4.82
1788386429239.582,0.355,7648.355,276.344,109066.543,1,12330,368,212,1,0.00,trace_0313,User-009,3.62
1788386429301.201,0.417,43203.029,227.374,198953.932,1,24258,686,421,1,0.00,trace_0694,User-011,4.40
1788386429357.190,0.473,49728.373,192.113,274884.774,1,22706,1173,687,1,0.00,trace_0704,User-016,5.21
1788386429423.191,0.539,59934.348,180.993,107897.430,6,31170,266,129,1,88.71,trace_0396,User-006,5.53
1788386429492.441,0.608,59860.769,170.478,112368.010,8,31526,309,180,1,98.56,trace_0687,User-015,5.87
1788386429547.075,0.663,66439.022,175.994,108853.584,3,22906,242,132,1,96.99,trace_0253,User-013,5.68
1788386429603.469,0.719,72204.923,185.535,109311.846,1,20008,201,130,1,0.00,trace_0726,User-017,5.39
1788386429728.523,0.844,81259.297,192.114,266649.284,1,28209,966,582,1,0.00,trace_0378,User-018,5.21
1788386429954.462,1.070,86791.076,123.055,117800.823,1,19031,253,152,1,0.00,trace_0587,User-019,8.13
1788386436065.773,7.182,85546.485,92.461,105703.047,1,16565,219,135,1,0.00,trace_0108,User-020,10.82
1788386505111.323,76.227,21762.802,86.909,30975.133,1,18986,107,64,1,0.00,trace_0266,User-021,11.51
1788386527140.703,98.256,4012.568,147.352,61774.524,1,12965,393,224,1,0.00,trace_0418,User-022,6.79
1788386540987.542,112.103,452.974,282.745,43430.275,2,20374,153,78,1,98.42,trace_0726,User-017,3.54
1788386541713.101,112.829,10537.359,261.275,84216.814,2,30152,283,180,1,72.77,trace_0714,User-003,3.83
1788386544160.477,115.276,8918.780,198.770,107309.965,2,22198,496,282,1,85.55,trace_0266,User-021,5.03
1788386546865.931,117.982,7083.953,203.187,40609.790,2,19881,166,90,1,83.23,trace_0108,User-020,4.92
1788386551025.498,122.141,9268.484,213.379,74989.072,2,19859,309,170,1,97.73,trace_0707,User-008,4.69
1788386553945.763,125.062,12165.860,192.817,45715.995,1,20882,175,92,1,0.00,trace_0562,User-023,5.19
1788386560562.363,131.678,9575.830,135.363,25007.159,2,13739,115,47,1,94.86,trace_0398,User-007,7.39
1788386563497.012,134.613,14031.612,251.265,54736.599,4,23770,163,99,1,96.23,trace_0253,User-013,3.98
1788386572707.088,143.823,10331.912,162.726,70214.967,1,20409,369,229,1,0.00,trace_0255,User-024,6.15
1788386586537.570,157.653,344.835,301.012,38272.345,3,20589,127,83,1,99.06,trace_0726,User-017,3.32
1788386587469.362,158.585,9588.536,385.796,34665.254,2,29164,66,33,1,62.86,trace_0629,User-004,2.59
