timestamp,user_id,event_type,trace_id,details
1788386350.829937,User-001,started,trace_0712,"63 requests, 18,829 initial tokens"
1788386350.8801417,User-002,started,trace_0365,"34 requests, 31,447 initial tokens"
1788386350.930376,User-003,started,trace_0714,"259 requests, 21,894 initial tokens"
1788386350.9805946,User-004,started,trace_0629,"107 requests, 18,339 initial tokens"
1788386351.0307853,User-005,started,trace_0568,"11 requests, 20,289 initial tokens"
1788386351.1007223,User-006,started,trace_0396,"84 requests remaining (advanced 5%), 24,666 tokens at start"
1788386351.1508934,User-007,started,trace_0398,"36 requests, 13,048 initial tokens"
1788386351.201029,User-008,started,trace_0707,"24 requests, 19,386 initial tokens"
1788386351.251238,User-009,started,trace_0313,"48 requests, 12,308 initial tokens"
1788386351.3251905,User-010,started,trace_0330,"81 requests remaining (advanced 32%), 32,148 tokens at start"
1788386351.375354,User-011,started,trace_0694,"16 requests, 24,236 initial tokens"
1788386351.4371402,User-012,started,trace_0292,"28 requests remaining (advanced 3%), 21,006 tokens at start"
1788386351.4985962,User-013,started,trace_0253,"159 requests remaining (advanced 1%), 20,671 tokens at start"
1788386351.57162,User-014,started,trace_0381,"271 requests remaining (advanced 5%), 31,518 tokens at start"
1788386351.6384785,User-015,started,trace_0687,"127 requests remaining (advanced 5%), 30,759 tokens at start"
1788386351.6886334,User-016,started,trace_0704,"10 requests, 22,683 initial tokens"
1788386428.83225,User-014,truncated,trace_0381,"14/285 requests, 0.0% cache hit"
1788386428.8323972,User-017,started,trace_0726,"84 requests, 19,986 initial tokens"
1788386429.5529695,User-010,truncated,trace_0330,"39/119 requests, 0.0% cache hit"
1788386429.5535054,User-018,started,trace_0378,"472 requests, 28,187 initial tokens"
1788386429.7959754,User-002,truncated,trace_0365,"0/34 requests, 0.0% cache hit"
1788386429.79613,User-019,started,trace_0587,"58 requests, 19,009 initial tokens"
1788386435.92146,User-012,truncated,trace_0292,"2/29 requests, 0.0% cache hit"
1788386435.9216645,User-020,started,trace_0108,"23 requests, 16,543 initial tokens"
1788386504.9511962,User-001,truncated,trace_0712,"1/63 requests, 0.0% cache hit"
1788386504.9514043,User-021,started,trace_0266,"23 requests, 18,964 initial tokens"
1788386527.000021,User-005,truncated,trace_0568,"1/11 requests, 0.0% cache hit"
1788386527.0001986,User-022,started,trace_0418,"287 requests, 12,943 initial tokens"
1788386553.7838113,User-019,truncated,trace_0587,"1/58 requests, 0.0% cache hit"
1788386553.7840927,User-023,started,trace_0562,"99 requests, 20,860 initial tokens"
1788386572.5409436,User-006,truncated,trace_0396,"6/88 requests, 88.7% cache hit"
1788386572.5410836,User-024,started,trace_0255,"13 requests, 20,387 initial tokens"
1788386588.8843653,User-015,truncated,trace_0687,"8/133 requests, 98.6% cache hit"
1788386588.8846118,User-025,started,trace_0588,"118 requests, 20,747 initial tokens"
1788386598.3506186,User-009,truncated,trace_0313,"1/48 requests, 0.0% cache hit"
1788386598.350838,User-026,started,trace_0569,"44 requests, 18,557 initial tokens"
1788386605.685758,User-023,truncated,trace_0562,"1/99 requests, 0.0% cache hit"
1788386605.6860378,User-027,started,trace_0632,"101 requests, 20,670 initial tokens"
1788386632.0272717,User-003,truncated,trace_0714,"2/259 requests, 42.1% cache hit"
1788386632.0277693,User-028,started,trace_0006,"46 requests, 16,981 initial tokens"
1788386636.2449434,User-013,truncated,trace_0253,"4/160 requests, 96.6% cache hit"
