timestamp_sec,relative_time_sec,kv_cache_usage_pct,cpu_kv_cache_usage_pct,num_requests_running,num_requests_waiting,prefix_cache_hits,prefix_cache_queries,cpu_prefix_cache_hits,cpu_prefix_cache_queries,prompt_tokens_total,generation_tokens_total,num_preemptions_total,request_success_total,kv_offload_bytes_gpu_to_cpu,kv_offload_bytes_cpu_to_gpu,kv_offload_time_gpu_to_cpu,kv_offload_time_cpu_to_gpu,prompt_tokens_local_compute,prompt_tokens_local_cache_hit,prompt_tokens_external_kv_transfer,prefill_kv_computed_tokens_sum,prefill_kv_computed_tokens_count,interval_cache_hit_rate_pct,interval_throughput_tok_per_sec
1788727404.118,0.000,0.00,0.00,0,0,0,343803,0,0,343803,4254,0,13,0,0,0.000000,0.000000,343803,0,0,343803,13,0.00,0.00
1788727405.128,1.010,1.61,0.00,1,1,0,356873,0,0,343803,4254,0,13,0,0,0.000000,0.000000,343803,0,0,343803,13,0.00,0.00
1788727406.152,2.034,1.85,0.00,1,25,0,356873,0,0,343803,4254,0,13,0,0,0.000000,0.000000,343803,0,0,343803,13,0.00,0.00
1788727407.160,3.042,1.96,0.00,1,30,0,356873,0,0,343803,4254,0,13,0,0,0.000000,0.000000,343803,0,0,343803,13,0.00,0.00
1788727408.179,4.061,2.61,0.00,2,29,0,369203,0,0,356873,4255,0,13,0,0,0.000000,0.000000,356873,0,0,343803,13,0.00,0.98
1788727409.191,5.073,2.72,0.00,2,29,0,369203,0,0,356873,4256,0,13,0,0,0.000000,0.000000,356873,0,0,343803,13,0.00,0.99
1788727410.204,6.086,2.95,0.00,2,29,0,369203,0,0,356873,4259,0,13,0,0,0.000000,0.000000,356873,0,0,343803,13,0.00,2.96
1788727411.216,7.098,3.08,0.00,3,28,0,380845,0,0,356873,4261,0,13,0,0,0.000000,0.000000,356873,0,0,343803,13,0.00,1.98
1788727412.229,8.111,3.72,0.00,3,28,0,380845,0,0,369203,4266,0,13,0,0,0.000000,0.000000,369203,0,0,343803,13,0.00,4.94
1788727413.241,9.123,3.83,0.00,3,28,0,380845,0,0,369203,4270,0,13,0,0,0.000000,0.000000,369203,0,0,343803,13,0.00,3.95
1788727414.253,10.135,4.19,0.00,4,28,0,395825,0,0,380845,4278,0,13,0,0,0.000000,0.000000,380845,0,0,343803,13,0.00,7.90
1788727415.263,11.145,4.59,0.00,4,28,0,395825,0,0,380845,4281,0,13,0,0,0.000000,0.000000,380845,0,0,343803,13,0.00,2.97
1788727416.274,12.156,4.81,0.00,4,28,0,395825,0,0,380845,4290,0,13,0,0,0.000000,0.000000,380845,0,0,343803,13,0.00,8.91
1788727417.283,13.165,4.94,0.00,4,28,0,395825,0,0,380845,4295,0,13,0,0,0.000000,0.000000,380845,0,0,343803,13,0.00,4.95
1788727418.293,14.175,5.26,0.00,5,27,0,411179,0,0,395825,4307,0,13,0,0,0.000000,0.000000,395825,0,0,343803,13,0.00,11.88
1788727419.304,15.186,5.70,0.00,5,27,0,411179,0,0,395825,4314,0,13,0,0,0.000000,0.000000,395825,0,0,343803,13,0.00,6.93
1788727420.315,16.197,5.92,0.00,5,27,0,411179,0,0,395825,4325,0,13,0,0,0.000000,0.000000,395825,0,0,343803,13,0.00,10.88
1788727421.325,17.207,6.03,0.00,5,27,0,411179,0,0,395825,4332,0,13,0,0,0.000000,0.000000,395825,0,0,343803,13,0.00,6.93
1788727422.336,18.218,6.26,0.00,6,26,0,433095,0,0,395825,4344,0,13,0,0,0.000000,0.000000,395825,0,0,343803,13,0.00,11.87
1788727423.346,19.228,6.80,0.00,6,26,0,433095,0,0,411179,4356,0,13,0,0,0.000000,0.000000,411179,0,0,343803,13,0.00,11.88
1788727424.358,20.240,7.03,0.00,6,26,0,433095,0,0,411179,4372,0,13,0,0,0.000000,0.000000,411179,0,0,343803,13,0.00,15.81
1788727425.370,21.252,7.14,0.00,6,26,0,433095,0,0,411179,4380,0,13,0,0,0.000000,0.000000,411179,0,0,343803,13,0.00,7.91
1788727426.381,22.263,7.37,0.00,6,26,0,433095,0,0,411179,4398,0,13,0,0,0.000000,0.000000,411179,0,0,343803,13,0.00,17.79
1788727427.394,23.276,7.50,0.00,6,26,0,433095,0,0,411179,4406,0,13,0,0,0.000000,0.000000,411179,0,0,343803,13,0.00,7.90
1788727428.407,24.289,7.61,0.00,6,26,0,433095,0,0,411179,4415,0,13,0,0,0.000000,0.000000,411179,0,0,343803,13,0.00,8.89
1788727429.419,25.301,8.24,0.00,7,25,0,451456,0,0,433095,4431,0,13,0,0,0.000000,0.000000,433095,0,0,343803,13,0.00,15.80
1788727430.434,26.316,8.35,0.00,7,25,0,451456,0,0,433095,4439,0,13,0,0,0.000000,0.000000,433095,0,0,343803,13,0.00,7.89
1788727431.448,27.330,8.59,0.00,7,25,0,451456,0,0,433095,4460,0,13,0,0,0.000000,0.000000,433095,0,0,343803,13,0.00,20.70
1788727432.456,28.338,8.71,0.00,7,25,0,451456,0,0,433095,4471,0,13,0,0,0.000000,0.000000,433095,0,0,343803,13,0.00,10.91
1788727433.469,29.351,8.82,0.00,7,25,0,451456,0,0,433095,4478,0,13,0,0,0.000000,0.000000,433095,0,0,343803,13,0.00,6.91
1788727434.481,30.363,9.46,0.00,8,24,0,471767,0,0,451456,4498,0,13,0,0,0.000000,0.000000,451456,0,0,343803,13,0.00,19.76
1788727435.493,31.375,9.68,0.00,8,24,0,471767,0,0,451456,4519,0,13,0,0,0.000000,0.000000,451456,0,0,343803,13,0.00,20.74
1788727436.506,32.388,9.80,0.00,8,24,0,471767,0,0,451456,4530,0,13,0,0,0.000000,0.000000,451456,0,0,343803,13,0.00,10.86
1788727437.518,33.400,9.92,0.00,8,24,0,471767,0,0,451456,4543,0,13,0,0,0.000000,0.000000,451456,0,0,343803,13,0.00,12.85
1788727438.530,34.412,10.15,0.00,8,24,0,471767,0,0,451456,4563,0,13,0,0,0.000000,0.000000,451456,0,0,343803,13,0.00,19.76
1788727439.542,35.424,10.27,0.00,9,23,0,491175,0,0,451456,4574,0,13,0,0,0.000000,0.000000,451456,0,0,343803,13,0.00,10.87
1788727440.556,36.438,10.92,0.00,9,23,0,491175,0,0,471767,4600,0,13,0,0,0.000000,0.000000,471767,0,0,343803,13,0.00,25.65
1788727441.568,37.450,11.03,0.00,9,23,0,491175,0,0,471767,4614,0,13,0,0,0.000000,0.000000,471767,0,0,343803,13,0.00,13.84
1788727442.580,38.462,11.24,0.00,9,23,0,491175,0,0,471767,4644,0,13,0,0,0.000000,0.000000,471767,0,0,343803,13,0.00,29.64
1788727443.592,39.474,11.36,0.00,9,23,0,491175,0,0,471767,4655,0,13,0,0,0.000000,0.000000,471767,0,0,343803,13,0.00,10.87
1788727444.605,40.487,11.47,0.00,9,23,0,491175,0,0,471767,4666,0,13,0,0,0.000000,0.000000,471767,0,0,343803,13,0.00,10.87
1788727445.622,41.504,12.02,0.00,10,22,0,515433,0,0,491175,4693,0,13,0,0,0.000000,0.000000,491175,0,0,343803,13,0.00,26.54
1788727446.634,42.516,12.25,0.00,10,22,0,515433,0,0,491175,4708,0,13,0,0,0.000000,0.000000,491175,0,0,343803,13,0.00,14.82
1788727447.647,43.529,12.47,0.00,10,22,0,515433,0,0,491175,4735,0,13,0,0,0.000000,0.000000,491175,0,0,343803,13,0.00,26.66
1788727448.659,44.541,12.59,0.00,10,22,0,515433,0,0,491175,4750,0,13,0,0,0.000000,0.000000,491175,0,0,343803,13,0.00,14.81
1788727449.672,45.554,12.83,0.00,10,22,0,515433,0,0,491175,4780,0,13,0,0,0.000000,0.000000,491175,0,0,343803,13,0.00,29.63
1788727450.680,46.561,12.93,0.00,10,22,0,515433,0,0,491175,4792,0,13,0,0,0.000000,0.000000,491175,0,0,343803,13,0.00,11.91
1788727451.691,47.573,13.03,0.00,10,22,0,515433,0,0,491175,4805,0,13,0,0,0.000000,0.000000,491175,0,0,343803,13,0.00,12.85
1788727452.704,48.586,13.15,0.00,11,21,0,538138,0,0,491175,4821,0,13,0,0,0.000000,0.000000,491175,0,0,343803,13,0.00,15.80
1788727453.717,49.599,13.79,0.00,11,21,0,538138,0,0,515433,4851,0,13,0,0,0.000000,0.000000,515433,0,0,343803,13,0.00,29.62
1788727454.730,50.612,13.90,0.00,11,21,0,538138,0,0,515433,4868,0,13,0,0,0.000000,0.000000,515433,0,0,343803,13,0.00,16.79
1788727455.743,51.625,14.14,0.00,11,21,0,538138,0,0,515433,4899,0,13,0,0,0.000000,0.000000,515433,0,0,343803,13,0.00,30.60
