period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
1,1788728526.9239235,1788728556.9239235,61,3,0,0,0,0,0,61,61,0,0.0,0.0,6.466666666666667,0.0,0.0,0.0,0.0,0.0,24141,0,0.0,100.0,0,55,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,,,0.08367746033647694,569
2,1788728556.9239235,1788728586.9239235,64,0,0,1,0,0,1,64,4,60,0.03333333333333333,0.0,20.433333333333334,0.0,0.0,0.0,0.0,0.0,24667,0,0.0,100.0,0,54,10,19.476504802703857,19.476504802703857,19.476504802703857,19.476504802703857,1,0.016666665408346482,234.8166489381936,1.2999999018510258,0.9815668202764977,2.3496706808590737,2.3496706808590737,2.3496706808590737,2.3496706808590737,5.0,5.0,5.0,5.0,14089.0,14089.0,14089.0,14089.0,78.0,78.0,78.0,78.0,14089,78,1,0.0,0.0,0.0,0.0,,,,,0.1429609024301669,539
3,1788728586.9239235,1788728616.9239235,64,0,0,1,0,0,1,64,1,63,0.03333333333333333,0.0,27.866666666666667,0.0,0.0,0.0,0.0,0.0,24675,0,0.0,100.0,0,50,14,17.586983919143677,17.586983919143677,19.28755271434784,19.438714385032654,2,0.022222221103715363,275.17776392730735,2.1777776681641057,0.9815303430079155,2.5012637101099093,2.5012637101099093,2.6376974364356616,2.6498248787757284,6.5,6.5,7.85,7.97,12383.0,12383.0,13918.4,14054.88,98.0,98.0,116.0,117.6,24766,196,1,0.0,0.0,0.0,0.0,,,,,0.20108872673632816,509
4,1788728616.9239235,1788728646.9239235,62,2,0,3,0,0,3,62,1,61,0.1,0.0,33.4,0.0,0.0,0.0,0.0,0.0,25012,0,0.0,100.0,0,46,16,26.537292814254762,27.354705572128296,36.78389377593994,37.6932262802124,5,0.041666665093766375,711.2833064826671,6.141666434821164,0.2809667673716012,2.4938683104482617,2.514074804403598,2.633446282064285,2.648974647901453,6.5,6.5,7.85,7.97,17070.8,18361.0,21595.0,21851.8,147.4,131.0,217.0,223.4,85354,737,1,0.0,0.0,0.0,0.0,,,,,0.22210574526739568,479
5,1788728646.9239235,1788728676.9239235,63,1,0,1,0,0,1,63,2,61,0.03333333333333333,0.0,39.8,0.0,0.0,0.0,0.0,0.0,25220,0,0.0,100.0,0,43,20,24.366276423136394,23.415605187416077,36.4997273683548,37.63639299869538,6,0.03999999879201257,670.2466464254279,7.099999785582231,0.23846153846153847,2.529261130296794,2.534939628641022,2.692883106994776,2.7035568050305177,6.5,6.5,7.85,7.97,16756.166666666668,16772.0,21514.75,21835.75,177.5,158.0,302.25,322.85,100537,1065,1,0.0,0.0,0.0,0.0,,,,,0.2831163742055127,449
6,1788728676.9239235,1788728706.9239235,62,2,0,6,0,0,6,62,5,57,0.2,0.0,37.56666666666667,0.0,0.0,0.0,0.0,0.0,26366,0,0.0,100.0,0,45,17,47.40977221727371,35.07889533042908,102.08429764509198,119.16042203664782,12,0.06666666498890633,1144.7444156353422,12.999999672836736,0.11610486891385768,2.402024499162968,2.508236202598244,2.6768725599411636,2.700354695619795,6.5,6.5,7.85,7.97,17171.166666666668,18320.5,21347.3,21802.260000000002,195.0,180.0,346.0,363.6,206054,2340,1,0.0,0.0,0.0,0.0,,,,,0.2645129245740999,419
7,1788728706.9239235,1788728736.9239235,63,1,0,4,0,0,4,63,5,58,0.13333333333333333,0.0,37.43333333333333,0.0,0.0,0.0,0.0,0.0,27104,0,0.0,100.0,0,46,17,59.86711096763611,53.18163788318634,129.5700545310974,144.307497882843,16,0.07619047454695586,1344.8523519422954,15.03333300904623,0.15705493503533166,2.322898421497376,2.449666237766169,2.666198861905422,2.6982199560126467,6.333333333333333,6.0,7.8,7.96,17651.1875,18395.0,21186.25,21770.05,197.3125,180.0,371.25,379.05,282419,3157,1,0.0,0.0,0.0,0.0,,,,,0.2724712125126201,389
8,1788728736.9239235,1788728766.9239235,61,3,0,6,0,0,6,61,4,57,0.2,0.0,31.633333333333333,0.0,0.0,0.0,0.0,0.0,27312,0,0.0,100.0,0,47,14,80.01623797416687,70.87329041957855,172.19244956970215,182.9611449599266,22,0.09166666493647632,1684.516634871745,17.595833001215432,0.2759005419190309,2.2719278443020894,2.3592717959376897,2.6500008732689113,2.6950178466019246,7.5,7.5,10.25,10.850000000000001,18376.545454545456,18395.0,21915.25,28356.079999999994,191.95454545454547,169.0,380.34999999999997,421.28999999999996,404284,4223,1,0.0,0.0,0.0,0.0,,,,,0.24534414572265417,359
9,1788728766.9239235,1788728796.9239235,59,5,0,7,0,0,7,59,5,54,0.23333333333333334,0.0,28.833333333333332,0.0,0.0,0.0,0.0,0.0,28263,0,0.0,100.0,0,48,11,95.56699052350274,95.94042372703552,189.67762989997863,207.91675478935238,29,0.10740740560536852,2140.7370011206,21.796295930606682,0.32202633340772147,2.247594377038852,2.276334012381888,2.630009810626076,2.6912820522894148,7.777777777777778,7.0,11.6,11.92,19931.0,19031.0,30015.2,31721.12,202.93103448275863,177.0,375.79999999999995,417.7199999999999,577999,5885,1,0.0,0.0,0.0,0.0,,,,,0.1964325604671392,329
10,1788728796.9239235,1788728826.9239235,63,1,0,3,0,0,3,63,7,56,0.1,0.0,28.333333333333332,0.0,0.0,0.0,0.0,0.0,29053,0,0.0,100.0,0,52,11,108.45634331554174,108.41203880310059,232.80845142602917,261.5906861329079,32,0.10666666505601674,2185.179967004125,20.929999683960283,0.39875604699378026,2.2672560916595046,2.3415090493469455,2.621442212350575,2.6896809975840537,8.416666666666666,7.5,13.349999999999998,14.670000000000002,20486.0625,19436.0,29995.4,31652.24,196.21875,176.0,373.84999999999997,416.19000000000005,655554,6279,1,0.0,0.0,0.0,0.0,,,,,0.2035272549834457,299
