period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
1,1788464452.5498111,1788464482.5498111,1,0,1,1,1,1,0,1,1,0,0.03333333333333333,628.3666666666667,7.066666666666666,8.45852780342102,8.45852780342102,8.45852780342102,8.45852780342102,0.0,636,0,13.25974702835083,55.800843238830566,18816,0,1,8.45852780342102,8.45852780342102,8.45852780342102,8.45852780342102,1,0.03333333253860476,628.3666516852383,3.966666572093966,0.0,24.57709062466838,24.57709062466838,24.57709062466838,24.57709062466838,0.0,0.0,0.0,0.0,18851.0,18851.0,18851.0,18851.0,119.0,119.0,119.0,119.0,18851,119,0,0.0,0.0,0.0,0.0,,,,,0.014417318231731535,569
2,1788464482.5498111,1788464512.5498111,1,0,0,1,0,0,1,1,1,0,0.03333333333333333,0.0,10.9,0.0,0.0,0.0,0.0,0.0,764,0,0.0,100.0,0,0,1,7.4324623346328735,7.4324623346328735,8.355921256542207,8.438006494045258,2,0.03333333293596904,679.4499919003249,5.733333264986674,0.0,29.35692097948255,29.35692097948255,33.6587682988153,34.041154727200436,0.0,0.0,0.0,0.0,20383.5,20383.5,21762.75,21885.35,172.0,172.0,219.7,223.94,40767,344,0,0.24162023525249846,0.0,0.6523746351817458,0.7103634916423455,,,,,0.018307389140457597,539
3,1788464512.5498111,1788464542.5498111,0,1,1,2,1,1,1,0,0,0,0.06666666666666667,612.0333333333333,9.1,5.219008684158325,5.219008684158325,5.219008684158325,5.219008684158325,0.0,1050,0,10.201987981796265,65.99337339401245,18304,0,0,5.827312469482422,5.812702775001526,8.150708162784575,8.39696387529373,4,0.04444444409123174,991.9999921162923,9.022222150520042,0.24568965517241378,31.888153040885005,33.02491063405389,36.50735793029379,36.84203180266985,16.0,16.0,16.0,16.0,22320.0,20383.5,28916.6,29904.92,203.0,205.0,274.29999999999995,281.26,89280,812,0,0.18121517643937385,0.0,0.6161315998938708,0.7031148845847703,,,,,0.0,509
4,1788464542.5498111,1788464572.5498111,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,0,0.0,100.0,0,0,0,5.827312469482422,5.812702775001526,8.150708162784575,8.39696387529373,4,0.033333333134651186,743.9999955654145,6.766666626334191,0.24568965517241378,31.888153040885005,33.02491063405389,36.50735793029379,36.84203180266985,16.0,16.0,16.0,16.0,22320.0,20383.5,28916.6,29904.92,203.0,205.0,274.29999999999995,281.26,89280,812,0,0.18121517643937385,0.0,0.6161315998938708,0.7031148845847703,,,,,0.0,479
5,1788464572.5498111,1788464602.5498111,0,1,1,1,1,1,0,0,0,0,0.03333333333333333,972.1333333333333,2.2,4.043168783187866,4.043168783187866,4.043168783187866,4.043168783187866,0.6285714285714286,1219,0,6.445122957229614,78.51625680923462,10816,0,0,5.470483732223511,5.219008684158325,8.048101615905761,8.37644256591797,5,0.033333333174387615,789.6266629014333,5.853333305422465,0.34001082837033025,30.92278222537716,31.913069933811055,36.36791048347044,36.81414231330518,79.0,79.0,135.7,140.74,23688.8,21916.0,29954.4,30112.48,175.6,185.0,271.4,280.68,118444,878,0,0.2704967605452723,0.0,0.7054131839997695,0.7209712014059502,,,,,0.0,449
6,1788464602.5498111,1788464632.5498111,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219,0,0.0,100.0,0,0,0,5.470483732223511,5.219008684158325,8.048101615905761,8.37644256591797,5,0.027777777667398806,658.0222196074768,4.87777775839523,0.34001082837033025,30.92278222537716,31.913069933811055,36.36791048347044,36.81414231330518,79.0,79.0,135.7,140.74,23688.8,21916.0,29954.4,30112.48,175.6,185.0,271.4,280.68,118444,878,0,0.2704967605452723,0.0,0.7054131839997695,0.7209712014059502,,,,,0.0,419
7,1788464632.5498111,1788464662.5498111,0,1,1,1,1,1,0,0,0,0,0.03333333333333333,677.0333333333333,4.366666666666666,5.8685431480407715,5.8685431480407715,5.8685431480407715,5.8685431480407715,0.0,1536,0,9.802588701248169,67.32470432917277,20288,0,0,5.536826968193054,5.543775916099548,7.945495069026947,8.355921256542207,6,0.028571428474114865,660.7380929876347,4.804761888396984,0.2902033271719039,31.276462509474186,32.47896693188519,36.228463036647085,36.786252823940515,79.0,79.0,135.7,140.74,23125.833333333332,21113.5,29905.0,30102.6,168.16666666666666,158.0,268.5,280.1,138755,1009,0,0.2254139671210602,0.0,0.700551303560338,0.7199988253180639,,,,,0.0,389
8,1788464662.5498111,1788464692.5498111,0,1,1,2,2,2,0,0,0,0,0.06666666666666667,865.3,19.433333333333334,1.900971531867981,1.900971531867981,3.289892208576202,3.4133518242835996,0.4876237623762376,1743,0,15.151665449142456,49.49444850285848,13248,0,0,4.627863109111786,4.631088733673096,7.740281975269316,8.31487863779068,8,0.033333333233992256,686.3083312879751,6.633333313564459,0.3212616822429907,37.26307737714907,33.59080763212802,57.90649792714402,62.91583969482195,56.666666666666664,16.0,129.39999999999998,139.48,20589.25,19581.0,29806.2,30082.84,199.0,193.0,347.34999999999997,375.07,164714,1592,0,0.28757453760579743,0.0,0.869974370793135,0.9324848726546414,,,,,0.0,359
9,1788464692.5498111,1788464722.5498111,1,0,1,2,2,2,0,1,1,0,0.06666666666666667,1382.7666666666667,16.466666666666665,1.4696179628372192,1.4696179628372192,2.2250776886940002,2.2922296643257143,0.804953560371517,1921,0,14.959719181060791,50.134269396464035,8064,1,0,3.9962140798568724,3.7436927556991577,7.535068881511686,8.273836019039154,10,0.037037036938922394,763.6925905694981,7.725925905459212,0.41848164281269445,37.991930234794395,35.531225802530294,56.11744729583046,62.55802956855925,38.4,12.0,116.79999999999998,136.96,20619.7,20203.5,29707.399999999998,30063.08,208.6,213.0,337.4499999999999,373.09000000000003,206197,2086,0,0.38964757251886273,0.3138115484844329,0.9429515639646072,0.9470803112889359,,,,,0.0,329
10,1788464722.5498111,1788464752.5498111,0,1,1,2,1,1,1,0,0,0,0.06666666666666667,1753.3666666666666,16.3,1.3777085542678833,1.3777085542678833,1.3835803389549255,1.3841022753715515,0.8766788766788767,1970,0,15.57325291633606,48.08915694554646,6464,0,0,3.5597964922587075,3.3347666263580322,7.329855787754058,8.23279340028763,12,0.03999999990463257,862.6599979432583,8.583333312869073,0.5115298785023555,37.98464445357866,37.117559437530474,54.328396664516916,62.20021944229655,30.857142857142858,12.0,104.1999999999999,134.43999999999994,21566.5,20849.0,29608.6,30043.32,214.58333333333334,224.0,327.54999999999995,371.11000000000007,258798,2575,0,0.47039923305566717,0.6434293828793374,0.9418046897078493,0.9468509364375843,,,,,0.0,299
