timestamp,user_id,event_type,trace_id,details
1788733070.4104404,User-001,started,trace_0712,"63 requests, 18,829 initial tokens"
1788733070.4606497,User-002,started,trace_0365,"34 requests, 31,447 initial tokens"
1788733070.5109382,User-003,started,trace_0714,"259 requests, 21,894 initial tokens"
1788733070.5612428,User-004,started,trace_0629,"107 requests, 18,339 initial tokens"
1788733070.6114714,User-005,started,trace_0568,"11 requests, 20,289 initial tokens"
1788733070.6809342,User-006,started,trace_0396,"84 requests remaining (advanced 5%), 24,666 tokens at start"
1788733070.7311242,User-007,started,trace_0398,"36 requests, 13,048 initial tokens"
1788733070.7813497,User-008,started,trace_0707,"24 requests, 19,386 initial tokens"
1788733070.8316329,User-009,started,trace_0313,"48 requests, 12,308 initial tokens"
1788733070.905422,User-010,started,trace_0330,"81 requests remaining (advanced 32%), 32,148 tokens at start"
1788733070.9556222,User-011,started,trace_0694,"16 requests, 24,236 initial tokens"
1788733071.0175202,User-012,started,trace_0292,"28 requests remaining (advanced 3%), 21,006 tokens at start"
1788733071.0787594,User-013,started,trace_0253,"159 requests remaining (advanced 1%), 20,671 tokens at start"
1788733071.1460617,User-014,started,trace_0381,"271 requests remaining (advanced 5%), 31,518 tokens at start"
1788733071.2126205,User-015,started,trace_0687,"127 requests remaining (advanced 5%), 30,759 tokens at start"
1788733071.2627792,User-016,started,trace_0704,"10 requests, 22,683 initial tokens"
1788733071.3323126,User-017,started,trace_0726,"83 requests remaining (advanced 1%), 20,343 tokens at start"
1788733071.3826694,User-018,started,trace_0378,"472 requests, 28,187 initial tokens"
1788733071.4329526,User-019,started,trace_0587,"58 requests, 19,009 initial tokens"
1788733071.483239,User-020,started,trace_0108,"23 requests, 16,543 initial tokens"
1788733071.551496,User-021,started,trace_0266,"22 requests remaining (advanced 4%), 22,166 tokens at start"
1788733071.6161869,User-022,started,trace_0418,"269 requests remaining (advanced 6%), 27,133 tokens at start"
1788733071.666356,User-023,started,trace_0562,"99 requests, 20,860 initial tokens"
1788733071.7382777,User-024,started,trace_0255,"12 requests remaining (advanced 8%), 29,270 tokens at start"
1788733071.804227,User-025,started,trace_0588,"114 requests remaining (advanced 3%), 29,697 tokens at start"
1788733071.8543851,User-026,started,trace_0569,"44 requests, 18,557 initial tokens"
1788733071.9238822,User-027,started,trace_0632,"99 requests remaining (advanced 2%), 24,189 tokens at start"
1788733071.9849098,User-028,started,trace_0006,"45 requests remaining (advanced 2%), 20,286 tokens at start"
1788733072.035051,User-029,started,trace_0579,"52 requests, 18,407 initial tokens"
1788733072.1042624,User-030,started,trace_0082,"128 requests remaining (advanced 2%), 17,596 tokens at start"
1788733072.1751368,User-031,started,trace_0624,"20 requests remaining (advanced 13%), 28,819 tokens at start"
