start_time_ms,relative_time_sec,ttft_ms,tpot_ms,latency_ms,input_num_turns,input_num_tokens,output_num_tokens,output_num_chunks,output_num_first_chunk_tokens,approx_cached_percent,conversation_id,client_id,interactivity_tok_per_sec
1788465259721.376,0.000,11801.163,253.302,41690.841,1,18851,119,75,1,0.00,trace_0712,User-001,3.95
1788465259852.168,0.131,18073.317,126.018,46301.435,1,21916,225,127,1,0.00,trace_0714,User-003,7.94
1788465259895.062,0.174,23497.812,120.773,45720.054,1,18361,185,112,1,0.00,trace_0629,User-004,8.28
1788465259942.903,0.222,29103.481,113.785,43895.548,1,20311,131,81,1,0.00,trace_0568,User-005,8.79
1788465259973.239,0.252,5833.878,134.890,65455.381,1,13070,443,202,1,0.00,trace_0398,User-007,7.41
1788465260018.878,0.298,34605.312,93.595,70171.581,1,19408,381,200,1,0.00,trace_0707,User-008,10.68
1788465260323.990,0.603,37873.675,148.063,74149.118,1,12330,246,207,1,0.00,trace_0313,User-009,6.75
1788465260762.035,1.041,37925.189,59.577,53713.141,6,31169,266,141,1,88.71,trace_0396,User-006,16.78
1788465308647.767,48.926,8347.173,63.062,35022.610,1,26812,424,236,1,0.00,trace_0330,User-010,15.86
1788465316254.075,56.533,4252.711,61.738,21662.859,2,30152,283,149,1,72.77,trace_0714,User-003,16.20
1788465318066.384,58.345,9311.736,56.090,47733.282,1,24258,686,380,1,0.00,trace_0694,User-011,17.83
1788465329494.892,69.774,476.224,30.441,3946.458,2,13736,115,47,1,94.86,trace_0398,User-007,32.85
1788465337253.760,77.532,391.720,66.771,20957.112,2,19863,309,142,1,97.73,trace_0707,User-008,14.98
1788465337539.070,77.818,310.763,27.930,5924.788,3,13995,202,81,1,98.17,trace_0398,User-007,35.80
1788465344131.812,84.410,4943.716,105.370,16323.721,1,17368,109,70,1,0.00,trace_0292,User-012,9.49
1788465347529.034,87.808,1687.567,76.196,11288.320,4,14303,127,47,1,98.20,trace_0398,User-007,13.12
1788465349831.303,90.110,5847.683,39.342,14857.020,1,19077,230,107,1,0.00,trace_0253,User-013,25.42
1788465350768.525,91.047,6237.987,40.411,14845.453,2,30762,214,118,1,87.08,trace_0330,User-010,24.75
1788465362914.410,103.193,295.701,76.476,8555.086,5,14497,109,56,1,98.67,trace_0398,User-007,13.08
1788465365794.666,106.073,4833.480,61.510,8831.615,2,29165,66,40,1,62.86,trace_0629,User-004,16.26
1788465367361.798,107.640,3265.462,38.297,17320.419,3,20359,368,179,1,97.48,trace_0707,User-008,26.11
1788465371527.396,111.806,1400.674,33.056,20705.634,2,21038,585,291,1,82.62,trace_0292,User-012,30.25
1788465372751.322,113.030,479.771,42.849,7249.868,3,31148,159,83,1,98.77,trace_0330,User-010,23.34
1788465375579.420,115.858,391.436,38.995,7020.636,6,14946,171,88,1,96.98,trace_0398,User-007,25.64
1788465375789.877,116.069,838.478,32.807,16946.875,2,20703,492,260,1,92.24,trace_0253,User-013,30.48
1788465389664.566,129.943,374.987,73.656,24386.692,7,15328,327,145,1,97.89,trace_0398,User-007,13.58
1788465392793.581,133.072,358.475,77.028,25392.500,4,20892,326,156,1,97.54,trace_0707,User-008,12.98
1788465394704.920,134.984,5699.284,90.333,31353.901,1,19127,285,157,1,0.00,trace_0381,User-014,11.07
1788465395204.572,135.483,9720.606,101.597,29938.384,1,16209,200,136,1,0.00,trace_0687,User-015,9.84
1788465399829.191,140.108,5095.164,52.044,17637.665,3,21300,242,99,1,96.99,trace_0253,User-013,19.21
1788465404461.703,144.740,7179.623,57.388,74266.551,1,22705,1170,597,1,0.00,trace_0704,User-016,17.43
1788465418850.393,159.129,6058.815,83.147,22688.181,1,20008,201,116,1,0.00,trace_0726,User-017,12.03
1788465419136.735,159.415,5770.332,66.164,22179.021,8,15876,249,113,1,96.34,trace_0398,User-007,15.11
1788465426038.707,166.317,9188.446,49.097,56272.922,1,28210,960,485,1,0.00,trace_0378,User-018,20.37
1788465427317.621,167.596,7907.021,43.633,25360.118,5,21399,401,189,1,97.60,trace_0707,User-008,22.92
1788465429218.125,169.497,6009.842,28.638,12023.918,2,16531,211,79,1,98.05,trace_0687,User-015,34.92
1788465438175.829,178.454,539.257,44.344,21159.223,2,20010,466,231,1,95.51,trace_0381,User-014,22.55
1788465442597.602,182.876,544.097,57.040,9784.564,4,22166,163,85,1,96.23,trace_0253,User-013,17.53
1788465443608.798,183.887,388.891,55.643,8846.580,2,20375,153,76,1,98.42,trace_0726,User-017,17.97
1788465445441.752,185.720,3351.727,45.791,9029.823,9,25029,125,74,1,63.24,trace_0398,User-007,21.84
1788465453347.172,193.626,549.511,39.221,13217.972,3,17407,324,147,1,94.83,trace_0687,User-015,25.50
1788465454526.430,194.805,329.308,33.816,4590.124,3,20594,127,59,1,99.06,trace_0726,User-017,29.57
