benchmark,draft,k,sample_from_anchor,accept_len,accept_rate,decode_tok_s,speedup,n,experiment
aime,backbone (no draft),,,,,59.5,1.0,30,baseline
aime,ours ep3.25 accum23x4,7,False,3.226,0.3181,174.1,2.93,30,ours_ep3_k7
aime,RedHatAI dspark,7,False,4.096,0.4423,222.7,3.74,30,redhat_k7
aime,ours ep3.25 accum23x4,3,False,2.183,0.3945,117.9,1.98,30,ours_ep3_k3
aime,RedHatAI dspark,3,False,2.366,0.4554,127.8,2.15,30,redhat_k3
gpqa,backbone (no draft),,,,,59.5,1.0,30,baseline
gpqa,ours ep3.25 accum23x4,7,False,3.524,0.3606,192.8,3.24,30,ours_ep3_k7
gpqa,RedHatAI dspark,7,False,3.825,0.4036,209.0,3.51,30,redhat_k7
gpqa,ours ep3.25 accum23x4,3,False,2.599,0.5329,140.4,2.36,30,ours_ep3_k3
gpqa,RedHatAI dspark,3,False,2.815,0.6049,152.1,2.56,30,redhat_k3
livecodebench,backbone (no draft),,,,,59.5,1.0,30,baseline
livecodebench,ours ep3.25 accum23x4,7,False,3.714,0.3877,200.8,3.37,30,ours_ep3_k7
livecodebench,RedHatAI dspark,7,False,3.896,0.4136,211.5,3.55,30,redhat_k7
livecodebench,ours ep3.25 accum23x4,3,False,2.419,0.473,128.8,2.16,30,ours_ep3_k3
livecodebench,RedHatAI dspark,3,False,2.848,0.616,152.2,2.56,30,redhat_k3
