benchmark,config,n,decode_tok_s,e2e_tok_s,mean_ttft_s,accept_length,accept_rate,speedup
aime,baseline,30,54.4,54.3,0.078,,,1.0
aime,assistant_k3,30,133.3,132.3,0.09,3.549,0.8497,2.4504
aime,assistant_k5,30,165.3,163.4,0.096,4.788,0.7576,3.0386
gpqa,baseline,50,54.8,54.5,0.104,,,1.0
gpqa,assistant_k3,50,131.0,128.5,0.124,3.398,0.7992,2.3905
gpqa,assistant_k5,50,155.6,151.9,0.128,4.465,0.6931,2.8394
gsm8k,baseline,50,55.6,55.1,0.063,,,1.0
gsm8k,assistant_k3,50,159.2,153.8,0.072,3.667,0.8889,2.8633
gsm8k,assistant_k5,50,199.3,190.3,0.077,5.074,0.8148,3.5845
humaneval,baseline,50,55.4,54.7,0.079,,,1.0
humaneval,assistant_k3,50,155.3,148.5,0.088,3.691,0.8968,2.8032
humaneval,assistant_k5,50,195.4,184.2,0.093,5.155,0.8311,3.5271
livecodebench,baseline,50,54.4,53.9,0.143,,,1.0
livecodebench,assistant_k3,50,127.5,124.2,0.162,3.452,0.8172,2.3438
livecodebench,assistant_k5,50,151.1,146.3,0.166,4.523,0.7045,2.7776
math500,baseline,50,55.2,54.9,0.07,,,1.0
math500,assistant_k3,50,148.5,146.1,0.081,3.659,0.8865,2.6902
math500,assistant_k5,50,185.7,181.5,0.085,5.045,0.8089,3.3641
mbpp,baseline,50,55.4,55.2,0.053,,,1.0
mbpp,assistant_k3,50,144.0,142.3,0.062,3.434,0.8113,2.5993
mbpp,assistant_k5,50,170.7,168.1,0.066,4.51,0.7019,3.0812
